 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total
Yarra Valley,0.4,0,0.9,0.1,1.3,0.5,1,0.7,0.3,0.1,0.4,0.2,0.5,0.8,0.4,1,1.4,0.2,0.5,11.2
Beaconsfield - Officer,0.1,0,1.3,0.1,1.4,1,1.8,1.1,0.5,0.2,0.8,0.3,1,1.6,0.7,1.3,2.2,0.4,0.5,16.7
Bunyip - Garfield,0.2,0,0.5,0.1,0.9,0.4,0.6,0.3,0.2,0.1,0.2,0.1,0.4,0.5,0.3,0.5,0.7,0.3,0.3,6.5
Emerald - Cockatoo,0.3,0,1.1,0.1,1.5,0.8,1.3,0.7,0.3,0.2,0.5,0.3,0.8,1,0.5,1.3,1.5,0.3,0.5,13.3
Koo Wee Rup,0.5,0,0.6,0.1,0.7,0.3,0.6,0.3,0.3,0,0.2,0.1,0.2,0.5,0.2,0.3,0.7,0.2,0.2,6.2
Pakenham - North,0.1,0,1.4,0.1,1.4,0.9,1.8,0.9,0.6,0.2,0.5,0.3,0.7,1.6,0.6,0.9,2,0.4,0.6,15.4
Pakenham - South,0.2,0,2.2,0.2,1.8,1.2,2.4,1.6,0.9,0.3,0.9,0.4,1.1,2.6,0.9,1.3,3.1,0.4,0.8,22.7
Berwick - North,0.1,0,1.2,0.1,1.3,1,1.8,0.9,0.4,0.2,0.8,0.3,1.1,1.3,0.7,1.5,1.9,0.4,0.5,16.1
Berwick - South,0.1,0,1.7,0.2,1.4,1.2,2.2,1.3,0.6,0.4,0.9,0.3,1.5,2.2,0.9,1.6,2.8,0.5,0.6,20.8
Doveton,0,0,1,0.1,0.4,0.4,0.7,0.4,0.3,0.1,0.2,0.1,0.3,1.3,0.3,0.3,0.8,0.1,0.2,6.9
Hallam,0,0,0.8,0.1,0.5,0.4,0.7,0.4,0.2,0.1,0.3,0.1,0.3,1.2,0.3,0.3,0.9,0.1,0.2,7.2
Narre Warren North,0,0,0.4,0,0.7,0.3,0.6,0.3,0.1,0.1,0.2,0.1,0.4,0.4,0.2,0.4,0.5,0.1,0.2,5.4
Endeavour Hills - North,0,0,0.8,0.1,0.5,0.5,0.9,0.4,0.3,0.1,0.4,0.1,0.5,0.9,0.3,0.5,1,0.1,0.2,8
Endeavour Hills - South,0,0,0.8,0.1,0.5,0.5,1,0.5,0.3,0.1,0.4,0.1,0.6,1.2,0.4,0.6,1.1,0.1,0.3,9
Narre Warren - North East,0,0,1,0.1,0.8,0.6,1.2,0.5,0.3,0.2,0.4,0.1,0.6,1.1,0.4,0.7,1.1,0.2,0.4,9.8
Narre Warren - South West,0.1,0,1.2,0.1,0.6,0.7,1.2,0.6,0.4,0.1,0.4,0.2,0.5,1.4,0.4,0.5,1.2,0.2,0.4,10.4
Cranbourne,0.1,0,1.7,0.2,1.1,0.9,1.6,1,0.6,0.1,0.5,0.2,0.7,2,0.5,0.6,1.8,0.3,0.6,14.7
Cranbourne East,0.2,0,3.7,0.3,2.3,2.1,4.1,2.5,1.4,0.5,1.7,0.5,2,5.1,1.4,1.8,7.3,0.5,1.2,39.5
Cranbourne North,0.1,0,1.7,0.2,1.1,1.1,2,1,0.6,0.2,0.7,0.2,0.9,2.3,0.6,0.8,2.4,0.3,0.5,17.2
Cranbourne South,0.1,0,0.9,0.1,1.2,0.6,1.1,0.5,0.3,0.1,0.4,0.2,0.6,1,0.4,0.6,1.4,0.3,0.4,10.6
Cranbourne West,0.1,0,1.6,0.2,0.9,0.8,1.5,0.9,0.6,0.1,0.5,0.2,0.7,2,0.4,0.5,2.4,0.2,0.5,14.6
Hampton Park - Lynbrook,0.2,0,2.5,0.2,0.9,1.1,1.7,1,0.7,0.2,0.6,0.2,0.8,2.9,0.6,0.6,2,0.2,0.6,17.4
Lynbrook - Lyndhurst,0.1,0,1.4,0.1,0.5,0.8,1.3,0.7,0.5,0.2,0.6,0.2,0.9,1.6,0.4,0.6,1.8,0.1,0.4,12.6
Pearcedale - Tooradin,0.1,0,0.5,0,0.8,0.3,0.6,0.3,0.2,0,0.2,0.1,0.3,0.4,0.2,0.4,0.6,0.1,0.2,5.6
Narre Warren South (East),0,0,0.9,0.1,0.8,0.6,1.2,0.6,0.3,0.2,0.4,0.2,0.5,1,0.4,0.6,1.1,0.2,0.3,9.6
Narre Warren South (West),0,0,1.2,0.1,0.8,0.8,1.3,0.7,0.4,0.1,0.5,0.2,0.6,1.5,0.4,0.6,1.3,0.2,0.4,11.4
Clarinda - Oakleigh South,0,0,0.6,0,0.4,0.4,0.9,0.5,0.3,0.2,0.4,0.1,0.6,0.8,0.3,0.5,1,0.1,0.3,7.7
Clayton South,0.1,0,0.8,0.1,0.4,0.6,1,1.1,0.3,0.1,0.4,0.2,0.8,1.9,0.3,0.5,1.2,0.1,0.4,10.5
Dandenong,0.2,0,2.7,0.2,0.9,1.1,1.8,1.5,0.5,0.2,0.7,0.2,0.9,4.1,0.6,0.7,2.5,0.2,0.6,20.1
Dandenong North,0.1,0,1.6,0.1,0.8,0.8,1.5,1,0.4,0.2,0.6,0.2,0.8,2.3,0.5,0.8,1.9,0.2,0.5,14.7
Dingley Village,0,0,0.6,0.1,0.5,0.5,0.9,0.5,0.2,0.1,0.4,0.2,0.6,0.6,0.3,0.7,0.8,0.2,0.3,7.3
Keysborough,0.2,0,2.7,0.2,0.9,1.4,2.3,1.4,0.6,0.2,1,0.3,1.4,2.5,0.6,1.1,2.3,0.2,0.8,21
Noble Park North,0,0,0.5,0,0.3,0.3,0.5,0.4,0.2,0.1,0.2,0.1,0.3,0.7,0.1,0.3,0.6,0.1,0.2,5
Springvale,0.5,0,2,0.1,0.5,1,1.7,1.9,0.3,0.2,0.6,0.2,1,2.8,0.3,0.6,1.6,0.2,0.8,16.7
Springvale South,0.3,0,1.4,0.1,0.3,0.6,0.9,0.7,0.2,0.1,0.3,0.1,0.5,1.5,0.2,0.3,0.7,0.1,0.4,8.9
Noble Park - East,0.2,0,1.1,0.1,0.3,0.5,0.9,0.9,0.3,0.1,0.4,0.1,0.6,2,0.4,0.5,1.3,0.1,0.4,10.3
Noble Park - West,0.4,0,2,0.1,0.5,0.8,1.4,1.2,0.4,0.1,0.5,0.1,0.8,2.8,0.4,0.6,1.6,0.1,0.6,14.6
Ashwood - Chadstone,0,0,0.7,0.1,0.6,0.7,1.6,1.3,0.3,0.3,0.9,0.3,1.6,1.6,0.6,1.4,1.8,0.3,0.5,14.9
Clayton,0.1,0,0.8,0.1,0.5,0.8,1.5,2,0.2,0.3,0.5,0.2,1.4,2.6,0.3,2.1,1.7,0.2,0.5,16.3
Glen Waverley - East,0,0,0.8,0.1,0.5,0.8,1.4,1.2,0.3,0.3,0.9,0.3,1.6,1.2,0.6,1.4,1.6,0.3,0.4,13.9
Glen Waverley - West,0,0,0.7,0.1,0.4,0.8,1.5,1.3,0.3,0.3,0.8,0.3,1.6,1.3,0.5,1.2,1.6,0.2,0.4,13.8
Mount Waverley - North,0,0,0.5,0.1,0.4,0.6,1.2,0.8,0.2,0.3,0.6,0.2,1.4,1.1,0.4,1.1,1.2,0.2,0.3,11
Mount Waverley - South,0,0,0.6,0.1,0.6,0.7,1.3,1,0.3,0.3,0.8,0.2,1.6,1.3,0.6,1.4,1.5,0.2,0.4,13.5
Mulgrave,0,0,1,0.1,0.7,0.8,1.5,1,0.3,0.2,0.8,0.2,1.1,1.6,0.6,1.1,1.7,0.2,0.5,13.8
Oakleigh - Huntingdale,0,0,0.9,0.1,0.8,0.9,1.9,1.6,0.4,0.4,0.9,0.3,1.8,1.9,0.7,1.8,2,0.3,0.5,17.6
Wheelers Hill,0,0,0.8,0.1,0.6,0.9,1.4,0.9,0.2,0.3,0.8,0.3,1.3,1.1,0.5,1.3,1.5,0.2,0.3,12.9
Ardeer - Albion,0,0,0.4,0,0.3,0.2,0.5,0.7,0.2,0.1,0.3,0.1,0.4,1.2,0.3,0.3,0.7,0.1,0.2,6.3
Cairnlea,0,0,0.6,0,0.3,0.3,0.8,0.6,0.4,0.1,0.4,0.1,0.4,0.9,0.3,0.4,0.7,0.1,0.3,6.8
Deer Park - Derrimut,0.1,0,1.5,0.1,0.9,0.8,1.7,1.4,1.1,0.2,0.8,0.3,1,3,0.8,0.7,2.1,0.3,0.6,18.1
Delahey,0,0,0.5,0,0.3,0.3,0.6,0.4,0.4,0.1,0.3,0.1,0.3,0.8,0.3,0.2,0.6,0.1,0.2,5.5
Keilor Downs,0,0,0.5,0.1,0.6,0.4,0.9,0.6,0.6,0.1,0.5,0.1,0.5,1.1,0.5,0.6,0.9,0.2,0.3,8.8
Kings Park (Vic.),0.1,0,0.9,0.1,0.4,0.4,0.9,0.7,0.5,0.1,0.4,0.1,0.3,1.4,0.3,0.3,0.8,0.1,0.4,8.3
St Albans - North,0.1,0,1.1,0.1,0.6,0.6,1.3,1.5,0.6,0.1,0.5,0.2,0.6,2.6,0.5,0.4,1.3,0.2,0.6,13.3
St Albans - South,0.1,0,0.9,0.1,0.4,0.5,1.1,1.4,0.5,0.1,0.5,0.1,0.5,2,0.4,0.4,1.1,0.2,0.6,11.1
Sunshine,0.1,0,0.5,0.1,0.3,0.3,0.7,1.1,0.3,0.1,0.3,0.1,0.5,1.5,0.4,0.5,0.8,0.1,0.3,8.2
Sunshine North,0.1, np ,0.7,0.1,0.4,0.4,0.9,0.8,0.4,0.1,0.3,0.1,0.4,1.3,0.3,0.4,0.7,0.1,0.4,8
Sunshine West,0.1,0,1,0.1,0.6,0.7,1.3,1.1,0.7,0.2,0.6,0.2,0.7,2.2,0.5,0.6,1.2,0.2,0.5,12.6
Sydenham,0,0,0.5,0.1,0.5,0.3,0.9,0.7,0.6,0.1,0.4,0.2,0.6,1.3,0.4,0.5,1,0.2,0.3,8.9
Taylors Lakes,0,0,0.8,0.1,1,0.6,1.5,0.8,0.8,0.2,0.7,0.2,0.9,1.3,0.7,1,1.2,0.3,0.4,13.1
Altona,0,0,0.5,0.1,0.6,0.5,0.8,0.6,0.5,0.2,0.5,0.2,0.9,1,0.7,0.8,1,0.2,0.3,9.8
Altona Meadows,0,0,0.9,0.1,0.9,0.7,1.3,0.9,0.8,0.2,0.7,0.3,1,1.7,0.8,0.9,1.4,0.3,0.4,13.5
Altona North,0,0,0.5,0.1,0.7,0.5,0.9,0.6,0.5,0.2,0.6,0.2,0.8,1.2,0.5,0.7,0.9,0.2,0.3,9.6
Newport,0.1,0,0.6,0.2,0.9,0.6,1,1,0.6,0.4,0.9,0.3,1.6,1.4,1,1.4,1.5,0.4,0.4,14.8
Seabrook,0,0,0.2,0,0.3,0.1,0.4,0.2,0.2,0.1,0.2,0.1,0.3,0.5,0.2,0.2,0.3,0.1,0.1,3.7
Williamstown,0,0,0.5,0.1,0.6,0.5,0.9,0.9,0.4,0.3,0.7,0.3,1.4,1,0.8,1.3,1.2,0.4,0.4,12
Braybrook,0.1,0,0.9,0.1,0.6,0.6,1.6,1.7,0.5,0.2,0.8,0.2,1.1,2.3,0.7,0.8,1.5,0.4,0.6,15
Footscray,0.1,0,0.6,0.1,0.5,0.5,1.3,2.2,0.4,0.4,0.7,0.3,1.6,2.6,0.9,1.4,1.7,0.5,0.6,16.8
Maribyrnong,0.1,0,0.5,0.1,0.4,0.5,1.3,1.1,0.4,0.3,0.6,0.2,1,1.4,0.6,0.8,1.2,0.4,0.3,11.5
Seddon - Kingsville,0,0,0.3,0.1,0.3,0.3,0.5,0.7,0.2,0.3,0.4,0.1,0.9,0.9,0.5,0.9,0.8,0.3,0.3,8
West Footscray - Tottenham,0,0,0.4,0.1,0.4,0.3,0.8,1.1,0.3,0.3,0.5,0.2,1,1.4,0.7,0.9,1,0.3,0.3,10.3
Yarraville,0,0,0.5,0.1,0.6,0.5,1,0.9,0.4,0.5,0.7,0.2,1.6,1.3,0.8,1.3,1.3,0.4,0.4,12.9
Bacchus Marsh,0.2,0.1,0.9,0.2,1.8,0.6,1.5,1.1,1.1,0.2,0.7,0.3,0.9,1.5,1.2,1.3,1.8,0.3,0.5,16.5
Hillside,0,0,1.1,0.2,1.5,0.8,2,1.2,1.1,0.3,0.9,0.3,1.1,1.9,0.9,1.2,2,0.4,0.5,17.9
Melton,0.1,0,0.8,0.1,1.1,0.5,1.3,0.8,1,0.1,0.5,0.3,0.5,1.8,0.6,0.7,1.4,0.2,0.4,12.5
Melton South,0.1,0,1.3,0.2,1.4,0.8,2.1,1.4,1.7,0.2,0.8,0.3,1,3.3,1.2,1.2,2.5,0.3,0.7,21.2
Melton West,0.1,0,0.9,0.2,1,0.6,1.6,0.9,1.1,0.1,0.5,0.3,0.6,2,0.8,0.8,1.6,0.2,0.5,13.9
Rockbank - Mount Cottrell,0,0,0.4,0.1,0.4,0.3,0.6,0.4,0.6,0.1,0.3,0.1,0.4,1.1,0.3,0.3,1.1,0.1,0.2,6.9
Taylors Hill,0,0,0.8,0.1,0.9,0.6,1.5,1,0.9,0.2,0.8,0.2,0.9,1.5,0.7,0.9,1.4,0.2,0.4,13.5
Burnside,0,0,0.3,0,0.2,0.2,0.4,0.2,0.2,0,0.2,0,0.2,0.5,0.2,0.2,0.5,0.1,0.1,3.5
Burnside Heights,0,0,0.3,0,0.2,0.2,0.4,0.3,0.3,0.1,0.2,0.1,0.3,0.5,0.2,0.3,0.5,0.1,0.1,4.2
Caroline Springs,0,0,0.9,0.1,0.9,0.6,1.5,1.1,0.9,0.2,0.8,0.2,1,1.8,0.7,1,1.8,0.3,0.4,14.6
Hoppers Crossing - North,0.1,0,0.9,0.1,1,0.7,1.6,1,0.9,0.2,0.6,0.2,0.8,2,0.8,0.9,1.4,0.3,0.5,14.3
Hoppers Crossing - South,0.1,0,0.9,0.1,0.7,0.6,1.5,1.1,0.9,0.2,0.5,0.2,0.8,2.2,0.7,0.8,1.4,0.3,0.4,13.7
Laverton,0,0,0.5,0.1,0.4,0.5,0.9,1.1,0.4,0.2,0.5,0.2,0.9,1.8,0.4,0.4,0.8,0.1,0.3,9.8
Tarneit,0.1,0,1.9,0.4,1.4,1.3,3.7,3,2.3,0.6,1.8,0.5,2.6,6.6,1.6,1.7,4.4,0.4,0.9,36.2
Truganina,0.1,0,1.3,0.3,0.8,0.9,2.2,2.1,1.5,0.4,1.3,0.4,1.9,4.5,1,1,2.7,0.3,0.7,24.2
Werribee - South,0.2,0,0.6,0.1,0.8,0.5,1.1,0.7,0.6,0.2,0.5,0.3,0.8,1.5,0.6,0.8,1.1,0.2,0.3,11.3
Wyndham Vale,0.2,0,1.2,0.3,1.2,0.9,2.3,1.4,1.3,0.4,1.2,0.3,1.9,3.3,1.2,1.1,2.5,0.4,0.6,22
Point Cook - East,0.1,0,0.7,0.1,0.8,0.7,1.2,0.9,0.6,0.3,0.8,0.4,1.3,2,0.6,0.7,1.3,0.2,0.3,13.3
Point Cook - North,0,0,0.9,0.2,0.9,0.8,1.7,1.3,0.9,0.4,1,0.3,1.6,2.1,0.9,1,1.7,0.4,0.5,17
Point Cook - South,0,0,0.5,0.1,0.6,0.6,1.1,0.9,0.6,0.4,0.9,0.2,1.7,1.7,0.6,0.7,1.3,0.3,0.3,12.9
Werribee - East,0.1,0,0.9,0.1,0.7,0.6,1.4,1,0.9,0.1,0.6,0.2,0.7,2.1,0.7,0.7,1.4,0.2,0.4,13.2
Werribee - West,0.1,0,0.8,0.2,1,0.6,1.4,1,0.9,0.2,0.7,0.3,1,2.1,0.8,1,1.7,0.3,0.5,14.9
Carrum Downs,0.1,0,1.8,0.2,1.5,1.1,1.9,0.9,0.6,0.2,0.6,0.3,0.7,1.8,0.7,0.8,2.2,0.3,0.6,16.6
Frankston,0.1,0,1.2,0.2,1.3,0.8,1.8,1.3,0.4,0.2,0.6,0.3,0.9,1.6,0.8,1.3,2.7,0.3,0.5,16.8
Frankston North,0.1,0,1.2,0.1,1.1,0.6,1.4,0.9,0.4,0.1,0.5,0.2,0.7,1.4,0.6,0.8,1.7,0.2,0.4,12.6
Frankston South,0.1,0,0.8,0.1,1.1,0.6,1.4,0.9,0.2,0.2,0.5,0.3,0.9,1,0.7,1.4,1.8,0.3,0.3,12.8
Langwarrin,0.1,0,1.4,0.1,2.2,0.9,2.2,1.1,0.4,0.2,0.8,0.4,1,1.4,0.8,1.4,2.3,0.4,0.6,18.3
Seaford (Vic.),0.1,0,0.9,0.1,1.1,0.6,1.2,0.6,0.3,0.2,0.5,0.2,0.8,1.3,0.6,1.1,1.5,0.3,0.4,12.1
Skye - Sandhurst,0,0,0.9,0.1,0.9,0.7,1.3,0.6,0.3,0.1,0.5,0.2,0.6,0.9,0.4,0.6,1.2,0.2,0.3,10.1
Dromana,0.1,0,0.4,0,0.7,0.4,1,0.6,0.2,0.1,0.3,0.2,0.4,0.5,0.3,0.7,0.9,0.2,0.3,7.7
Flinders,0.2,0,0.1,0,0.2,0.1,0.4,0.4,0.1,0,0.1,0.1,0.3,0.2,0.1,0.3,0.3,0.1,0.1,3.4
Hastings - Somers,0.2,0.1,1.1,0.1,1.4,0.6,1.7,1.2,0.4,0.1,0.5,0.3,0.7,1.2,1.3,1.1,1.9,0.3,0.5,15
Mornington,0.1,0,1,0.1,1.3,0.7,1.8,1.4,0.3,0.1,0.7,0.4,1.1,1.1,0.7,1.5,2.3,0.5,0.5,16
Mount Eliza,0.1,0,0.7,0.1,0.9,0.6,1.3,1,0.2,0.2,0.5,0.3,1.1,0.8,0.5,1.4,1.5,0.3,0.3,12.2
Mount Martha,0.1,0,0.8,0.1,1.1,0.5,1.4,1,0.2,0.2,0.5,0.3,0.9,0.8,0.6,1.4,1.6,0.4,0.4,12.8
Point Nepean,0.1,0,0.4,0.1,0.9,0.4,1.3,1.4,0.2,0.1,0.4,0.4,0.7,0.7,0.4,1,1.1,0.3,0.3,10.7
Rosebud - McCrae,0.2,0,0.6,0.1,1,0.4,1.8,1.4,0.3,0.1,0.5,0.3,0.6,0.9,0.6,0.9,1.9,0.3,0.4,12.6
Somerville,0.2,0,1,0.1,1.5,0.6,1.5,0.9,0.3,0.1,0.5,0.2,0.7,1,0.7,1,1.7,0.4,0.5,13.3
Ararat,0.5,0.1,0.6,0,0.2,0.3,0.4,0.4,0.1,0,0.1,0.1,0.2,0.2,0.7,0.3,0.9,0.1,0.1,5.4
Ararat Region,0.5,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.2,0.2,0.3,0,0,2.1
Horsham,0.6,0.1,0.4,0.2,0.8,0.5,1.5,1,0.6,0.1,0.4,0.1,0.4,0.9,0.7,0.9,2.1,0.2,0.4,12.1
Horsham Region,0.5,0,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0.1,0.1,2.5
Nhill Region,0.9,0,0.1,0,0.2,0.1,0.3,0.1,0.3,0,0.1,0,0.1,0.2,0.3,0.4,0.8,0,0.1,4.3
St Arnaud,0.4,0,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.4,0,0,2.1
Stawell,0.3,0.2,0.7,0,0.3,0.1,0.4,0.4,0.1,0,0.1,0.1,0.1,0.3,0.6,0.3,1,0.2,0.1,5.7
West Wimmera,0.6,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.3,0,0,1.9
Yarriambiack,0.5,0,0.1,0,0.1,0.2,0.3,0.2,0.2,0,0.1,0,0.1,0.2,0.2,0.4,0.8,0.1,0.1,3.8
Irymple,0.5,0,0.3,0,0.4,0.2,0.6,0.4,0.2,0,0.1,0.1,0.2,0.4,0.3,0.4,0.5,0.1,0.1,5.2
Merbein,0.3,0,0.2,0,0.2,0.1,0.4,0.4,0.2,0,0.1,0,0.1,0.3,0.2,0.3,0.3,0,0.1,3.4
Mildura Region,0.5,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0.1,0.2,0.1,0.2,0.3,0.1,0.1,2.5
Red Cliffs,0.8,0,0.3,0,0.3,0.3,0.4,0.4,0.2,0,0.1,0.1,0.1,0.8,0.2,0.2,0.4,0.1,0.1,5.1
Mildura - North,1.6,0.1,0.8,0.1,0.7,0.9,1.3,1.5,0.5,0.1,0.3,0.2,0.5,2.1,0.6,1,1.7,0.2,0.4,15
Mildura - South,1.2,0.1,0.7,0.1,0.6,0.7,1.3,1.2,0.5,0.1,0.4,0.2,0.5,1.6,0.6,0.9,1.7,0.2,0.3,13.2
Buloke,0.6, np ,0.2,0,0.1,0.2,0.3,0.2,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,3.8
Gannawarra,0.6,0,0.3,0.1,0.3,0.2,0.4,0.3,0.1,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.1,0.1,3.9
Kerang,0.1,0,0.2,0,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.3
Robinvale,1,0,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0.2,1,0,0.1,0.2,0,0.1,3.6
Swan Hill,0.5,0,0.5,0.1,0.4,0.6,1,0.8,0.3,0.1,0.3,0.1,0.3,0.6,0.5,0.7,1.1,0.2,0.3,8.2
Swan Hill Region,1,0,0.3,0,0.2,0.3,0.3,0.3,0.2,0,0.1,0,0.1,0.4,0.2,0.3,0.4,0.1,0.1,4.7
Echuca,0.6,0,0.8,0.1,0.8,0.3,1.3,1.5,0.4,0.1,0.3,0.3,0.3,0.7,0.5,0.8,1.7,0.2,0.3,11.2
Kyabram,0.6,0,0.9,0.1,0.4,0.2,0.7,0.4,0.3,0,0.3,0.1,0.3,0.6,0.3,0.5,1,0.1,0.2,7.3
Lockington - Gunbower,0.3,0,0.2,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.2,0.3,0,0.1,2.5
Rochester,0.3,0,0.2,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.2,0.4,0,0.1,2.5
Rushworth,0.3,0,0.3,0,0.1,0.1,0.2,0.1,0.2,0,0.1,0,0.1,0.2,0.1,0.2,0.3,0,0,2.4
Cobram,0.5,0,0.5,0,0.2,0.1,0.5,0.4,0.2,0,0.1,0.1,0.1,0.3,0.1,0.2,0.4,0.1,0.1,4.2
Moira,0.2,0,0.2,0,0.1,0,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0,0,1.9
Numurkah,0.8,0,0.9,0.1,0.4,0.2,0.8,0.5,0.5,0,0.2,0.1,0.2,0.5,0.3,0.6,1.1,0.1,0.2,8
Yarrawonga,0.1,0,0.4,0,0.5,0.1,0.6,0.8,0.2,0,0.2,0.1,0.2,0.2,0.2,0.4,0.7,0.1,0.1,5
Mooroopna,0.3,0,0.5,0.1,0.3,0.2,0.6,0.4,0.3,0,0.2,0.1,0.2,0.7,0.3,0.3,0.8,0.1,0.2,5.7
Shepparton - North,0.6,0,0.9,0.2,0.7,0.7,1.4,1,0.4,0.1,0.5,0.2,0.6,1.3,0.6,1.2,2.6,0.2,0.5,14.3
Shepparton - South,1.1,0,1.2,0.2,0.9,0.8,1.9,1.3,0.6,0.1,0.6,0.2,0.7,1.9,0.8,1.3,2.2,0.2,0.6,17.2
Shepparton Region - East,0.2,0,0.2,0,0.2,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.2,0.1,0.3,0.4,0,0.1,2.8
Shepparton Region - West,0.8,0,0.7,0.2,0.4,0.2,0.5,0.3,0.3,0,0.2,0.1,0.3,0.7,0.4,0.5,0.9,0.1,0.2,7.1
Glenelg (Vic.),1.2,0,0.4,0,0.3,0.2,0.4,0.4,0.4,0,0.2,0.1,0.2,0.3,0.4,0.4,0.7,0.1,0.2,6
Hamilton (Vic.),1.2,0,0.3,0,0.3,0.2,0.8,0.7,0.3,0.1,0.2,0.1,0.2,0.4,0.5,0.7,1.1,0.1,0.2,7.5
Portland,0.4,0,0.8,0.1,0.5,0.2,0.7,0.7,0.7,0,0.2,0.1,0.2,0.5,0.4,0.5,1,0.1,0.3,7.6
Southern Grampians,1.4,0,0.1,0,0.2,0.1,0.3,0.3,0.1,0,0.1,0,0.2,0.1,0.3,0.4,0.5,0.1,0.1,4.5
Camperdown,0.2,0,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0,2.2
Colac,0.3,0,1.9,0.1,0.4,0.2,0.9,0.7,0.4,0.1,0.3,0.1,0.3,0.7,0.5,0.5,1.2,0.1,0.2,9
Colac Region,0.4,0,0.4,0,0.2,0.1,0.3,0.3,0.2,0,0.1,0,0.1,0.3,0.2,0.3,0.6,0.1,0.1,3.8
Corangamite - North,0.6,0,0.2,0,0.2,0.1,0.3,0.2,0.2,0,0.1,0,0.1,0.2,0.2,0.4,0.5,0.1,0.1,3.6
Corangamite - South,1,0.1,0.4,0,0.3,0.1,0.4,0.5,0.2,0,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.1,0.1,4.8
Otway,0.1,0,0.1,0,0.1,0,0.2,0.7,0.1,0,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,2.6
Moyne - East,1,0,0.3,0,0.2,0.1,0.3,0.3,0.2,0,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.1,0.1,4.7
Moyne - West,0.9,0,0.4,0.1,0.3,0.2,0.6,0.6,0.2,0,0.2,0.1,0.2,0.4,0.5,0.6,1,0.1,0.2,6.8
Warrnambool - North,0.4,0.1,1.5,0.2,0.8,0.5,2.1,2,0.5,0.1,0.5,0.2,0.6,1.2,1,1.4,2.6,0.4,0.5,16.8
Warrnambool - South,0.3,0,1,0.1,0.4,0.2,1,1.1,0.3,0.1,0.3,0.1,0.4,0.9,0.6,1,1.6,0.2,0.3,9.9