 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Glen Waverley - East,0,0,0.8,0.1,0.5,0.8,1.4,1.2,0.3,0.3,0.9,0.3,1.6,1.2,0.6,1.4,1.6,0.3,0.4,13.9,Monash
Glen Waverley - West,0,0,0.7,0.1,0.4,0.8,1.5,1.3,0.3,0.3,0.8,0.3,1.6,1.3,0.5,1.2,1.6,0.2,0.4,13.8,Monash
Mount Waverley - North,0,0,0.5,0.1,0.4,0.6,1.2,0.8,0.2,0.3,0.6,0.2,1.4,1.1,0.4,1.1,1.2,0.2,0.3,11,Monash
Mount Waverley - South,0,0,0.6,0.1,0.6,0.7,1.3,1,0.3,0.3,0.8,0.2,1.6,1.3,0.6,1.4,1.5,0.2,0.4,13.5,Monash
Mulgrave,0,0,1,0.1,0.7,0.8,1.5,1,0.3,0.2,0.8,0.2,1.1,1.6,0.6,1.1,1.7,0.2,0.5,13.8,Monash
Oakleigh - Huntingdale,0,0,0.9,0.1,0.8,0.9,1.9,1.6,0.4,0.4,0.9,0.3,1.8,1.9,0.7,1.8,2,0.3,0.5,17.6,Monash
Wheelers Hill,0,0,0.8,0.1,0.6,0.9,1.4,0.9,0.2,0.3,0.8,0.3,1.3,1.1,0.5,1.3,1.5,0.2,0.3,12.9,Monash
Ardeer - Albion,0,0,0.4,0,0.3,0.2,0.5,0.7,0.2,0.1,0.3,0.1,0.4,1.2,0.3,0.3,0.7,0.1,0.2,6.3,Brimbank
Cairnlea,0,0,0.6,0,0.3,0.3,0.8,0.6,0.4,0.1,0.4,0.1,0.4,0.9,0.3,0.4,0.7,0.1,0.3,6.8,Brimbank
Deer Park - Derrimut,0.1,0,1.5,0.1,0.9,0.8,1.7,1.4,1.1,0.2,0.8,0.3,1,3,0.8,0.7,2.1,0.3,0.6,18.1,Brimbank
Delahey,0,0,0.5,0,0.3,0.3,0.6,0.4,0.4,0.1,0.3,0.1,0.3,0.8,0.3,0.2,0.6,0.1,0.2,5.5,Brimbank
Keilor Downs,0,0,0.5,0.1,0.6,0.4,0.9,0.6,0.6,0.1,0.5,0.1,0.5,1.1,0.5,0.6,0.9,0.2,0.3,8.8,Brimbank
Kings Park (Vic.),0.1,0,0.9,0.1,0.4,0.4,0.9,0.7,0.5,0.1,0.4,0.1,0.3,1.4,0.3,0.3,0.8,0.1,0.4,8.3,Brimbank
St Albans - North,0.1,0,1.1,0.1,0.6,0.6,1.3,1.5,0.6,0.1,0.5,0.2,0.6,2.6,0.5,0.4,1.3,0.2,0.6,13.3,Brimbank
St Albans - South,0.1,0,0.9,0.1,0.4,0.5,1.1,1.4,0.5,0.1,0.5,0.1,0.5,2,0.4,0.4,1.1,0.2,0.6,11.1,Brimbank
Sunshine,0.1,0,0.5,0.1,0.3,0.3,0.7,1.1,0.3,0.1,0.3,0.1,0.5,1.5,0.4,0.5,0.8,0.1,0.3,8.2,Brimbank
Sunshine North,0.1, np ,0.7,0.1,0.4,0.4,0.9,0.8,0.4,0.1,0.3,0.1,0.4,1.3,0.3,0.4,0.7,0.1,0.4,8,Brimbank
Sunshine West,0.1,0,1,0.1,0.6,0.7,1.3,1.1,0.7,0.2,0.6,0.2,0.7,2.2,0.5,0.6,1.2,0.2,0.5,12.6,Brimbank
Sydenham,0,0,0.5,0.1,0.5,0.3,0.9,0.7,0.6,0.1,0.4,0.2,0.6,1.3,0.4,0.5,1,0.2,0.3,8.9,Brimbank
Taylors Lakes,0,0,0.8,0.1,1,0.6,1.5,0.8,0.8,0.2,0.7,0.2,0.9,1.3,0.7,1,1.2,0.3,0.4,13.1,Brimbank
Altona,0,0,0.5,0.1,0.6,0.5,0.8,0.6,0.5,0.2,0.5,0.2,0.9,1,0.7,0.8,1,0.2,0.3,9.8,Hobsons Bay
Altona Meadows,0,0,0.9,0.1,0.9,0.7,1.3,0.9,0.8,0.2,0.7,0.3,1,1.7,0.8,0.9,1.4,0.3,0.4,13.5,Hobsons Bay
Altona North,0,0,0.5,0.1,0.7,0.5,0.9,0.6,0.5,0.2,0.6,0.2,0.8,1.2,0.5,0.7,0.9,0.2,0.3,9.6,Hobsons Bay
Newport,0.1,0,0.6,0.2,0.9,0.6,1,1,0.6,0.4,0.9,0.3,1.6,1.4,1,1.4,1.5,0.4,0.4,14.8,Hobsons Bay
Seabrook,0,0,0.2,0,0.3,0.1,0.4,0.2,0.2,0.1,0.2,0.1,0.3,0.5,0.2,0.2,0.3,0.1,0.1,3.7,Hobsons Bay
Williamstown,0,0,0.5,0.1,0.6,0.5,0.9,0.9,0.4,0.3,0.7,0.3,1.4,1,0.8,1.3,1.2,0.4,0.4,12,Hobsons Bay
Braybrook,0.1,0,0.9,0.1,0.6,0.6,1.6,1.7,0.5,0.2,0.8,0.2,1.1,2.3,0.7,0.8,1.5,0.4,0.6,15,Maribyrnong
Footscray,0.1,0,0.6,0.1,0.5,0.5,1.3,2.2,0.4,0.4,0.7,0.3,1.6,2.6,0.9,1.4,1.7,0.5,0.6,16.8,Maribyrnong
Maribyrnong,0.1,0,0.5,0.1,0.4,0.5,1.3,1.1,0.4,0.3,0.6,0.2,1,1.4,0.6,0.8,1.2,0.4,0.3,11.5,Maribyrnong
Seddon - Kingsville,0,0,0.3,0.1,0.3,0.3,0.5,0.7,0.2,0.3,0.4,0.1,0.9,0.9,0.5,0.9,0.8,0.3,0.3,8,Maribyrnong
West Footscray - Tottenham,0,0,0.4,0.1,0.4,0.3,0.8,1.1,0.3,0.3,0.5,0.2,1,1.4,0.7,0.9,1,0.3,0.3,10.3,Maribyrnong
Yarraville,0,0,0.5,0.1,0.6,0.5,1,0.9,0.4,0.5,0.7,0.2,1.6,1.3,0.8,1.3,1.3,0.4,0.4,12.9,Maribyrnong
Bacchus Marsh,0.2,0.1,0.9,0.2,1.8,0.6,1.5,1.1,1.1,0.2,0.7,0.3,0.9,1.5,1.2,1.3,1.8,0.3,0.5,16.5,Moorabool
Hillside,0,0,1.1,0.2,1.5,0.8,2,1.2,1.1,0.3,0.9,0.3,1.1,1.9,0.9,1.2,2,0.4,0.5,17.9,Melton
Melton,0.1,0,0.8,0.1,1.1,0.5,1.3,0.8,1,0.1,0.5,0.3,0.5,1.8,0.6,0.7,1.4,0.2,0.4,12.5,Melton
Melton South,0.1,0,1.3,0.2,1.4,0.8,2.1,1.4,1.7,0.2,0.8,0.3,1,3.3,1.2,1.2,2.5,0.3,0.7,21.2,Melton
Melton West,0.1,0,0.9,0.2,1,0.6,1.6,0.9,1.1,0.1,0.5,0.3,0.6,2,0.8,0.8,1.6,0.2,0.5,13.9,Melton
Rockbank - Mount Cottrell,0,0,0.4,0.1,0.4,0.3,0.6,0.4,0.6,0.1,0.3,0.1,0.4,1.1,0.3,0.3,1.1,0.1,0.2,6.9,Melton
Taylors Hill,0,0,0.8,0.1,0.9,0.6,1.5,1,0.9,0.2,0.8,0.2,0.9,1.5,0.7,0.9,1.4,0.2,0.4,13.5,Melton
Burnside,0,0,0.3,0,0.2,0.2,0.4,0.2,0.2,0,0.2,0,0.2,0.5,0.2,0.2,0.5,0.1,0.1,3.5,Melton
Burnside Heights,0,0,0.3,0,0.2,0.2,0.4,0.3,0.3,0.1,0.2,0.1,0.3,0.5,0.2,0.3,0.5,0.1,0.1,4.2,Melton
Caroline Springs,0,0,0.9,0.1,0.9,0.6,1.5,1.1,0.9,0.2,0.8,0.2,1,1.8,0.7,1,1.8,0.3,0.4,14.6,Wyndham
Hoppers Crossing - North,0.1,0,0.9,0.1,1,0.7,1.6,1,0.9,0.2,0.6,0.2,0.8,2,0.8,0.9,1.4,0.3,0.5,14.3,Wyndham
Hoppers Crossing - South,0.1,0,0.9,0.1,0.7,0.6,1.5,1.1,0.9,0.2,0.5,0.2,0.8,2.2,0.7,0.8,1.4,0.3,0.4,13.7,Wyndham
Laverton,0,0,0.5,0.1,0.4,0.5,0.9,1.1,0.4,0.2,0.5,0.2,0.9,1.8,0.4,0.4,0.8,0.1,0.3,9.8,Wyndham
Tarneit,0.1,0,1.9,0.4,1.4,1.3,3.7,3,2.3,0.6,1.8,0.5,2.6,6.6,1.6,1.7,4.4,0.4,0.9,36.2,Wyndham
Truganina,0.1,0,1.3,0.3,0.8,0.9,2.2,2.1,1.5,0.4,1.3,0.4,1.9,4.5,1,1,2.7,0.3,0.7,24.2,Wyndham
Werribee - South,0.2,0,0.6,0.1,0.8,0.5,1.1,0.7,0.6,0.2,0.5,0.3,0.8,1.5,0.6,0.8,1.1,0.2,0.3,11.3,Wyndham
Wyndham Vale,0.2,0,1.2,0.3,1.2,0.9,2.3,1.4,1.3,0.4,1.2,0.3,1.9,3.3,1.2,1.1,2.5,0.4,0.6,22,Wyndham
Point Cook - East,0.1,0,0.7,0.1,0.8,0.7,1.2,0.9,0.6,0.3,0.8,0.4,1.3,2,0.6,0.7,1.3,0.2,0.3,13.3,Wyndham
Point Cook - North,0,0,0.9,0.2,0.9,0.8,1.7,1.3,0.9,0.4,1,0.3,1.6,2.1,0.9,1,1.7,0.4,0.5,17,Wyndham
Point Cook - South,0,0,0.5,0.1,0.6,0.6,1.1,0.9,0.6,0.4,0.9,0.2,1.7,1.7,0.6,0.7,1.3,0.3,0.3,12.9,Wyndham
Werribee - East,0.1,0,0.9,0.1,0.7,0.6,1.4,1,0.9,0.1,0.6,0.2,0.7,2.1,0.7,0.7,1.4,0.2,0.4,13.2,Wyndham
Werribee - West,0.1,0,0.8,0.2,1,0.6,1.4,1,0.9,0.2,0.7,0.3,1,2.1,0.8,1,1.7,0.3,0.5,14.9,Wyndham
Carrum Downs,0.1,0,1.8,0.2,1.5,1.1,1.9,0.9,0.6,0.2,0.6,0.3,0.7,1.8,0.7,0.8,2.2,0.3,0.6,16.6,Wyndham
Frankston,0.1,0,1.2,0.2,1.3,0.8,1.8,1.3,0.4,0.2,0.6,0.3,0.9,1.6,0.8,1.3,2.7,0.3,0.5,16.8,Frankston
Frankston North,0.1,0,1.2,0.1,1.1,0.6,1.4,0.9,0.4,0.1,0.5,0.2,0.7,1.4,0.6,0.8,1.7,0.2,0.4,12.6,Frankston
Frankston South,0.1,0,0.8,0.1,1.1,0.6,1.4,0.9,0.2,0.2,0.5,0.3,0.9,1,0.7,1.4,1.8,0.3,0.3,12.8,Frankston
Langwarrin,0.1,0,1.4,0.1,2.2,0.9,2.2,1.1,0.4,0.2,0.8,0.4,1,1.4,0.8,1.4,2.3,0.4,0.6,18.3,Frankston
Seaford (Vic.),0.1,0,0.9,0.1,1.1,0.6,1.2,0.6,0.3,0.2,0.5,0.2,0.8,1.3,0.6,1.1,1.5,0.3,0.4,12.1,Frankston
Skye - Sandhurst,0,0,0.9,0.1,0.9,0.7,1.3,0.6,0.3,0.1,0.5,0.2,0.6,0.9,0.4,0.6,1.2,0.2,0.3,10.1,Frankston
Dromana,0.1,0,0.4,0,0.7,0.4,1,0.6,0.2,0.1,0.3,0.2,0.4,0.5,0.3,0.7,0.9,0.2,0.3,7.7,Mornington Peninsula
Flinders,0.2,0,0.1,0,0.2,0.1,0.4,0.4,0.1,0,0.1,0.1,0.3,0.2,0.1,0.3,0.3,0.1,0.1,3.4,Mornington Peninsula
Hastings - Somers,0.2,0.1,1.1,0.1,1.4,0.6,1.7,1.2,0.4,0.1,0.5,0.3,0.7,1.2,1.3,1.1,1.9,0.3,0.5,15,Mornington Peninsula
Mornington,0.1,0,1,0.1,1.3,0.7,1.8,1.4,0.3,0.1,0.7,0.4,1.1,1.1,0.7,1.5,2.3,0.5,0.5,16,Mornington Peninsula
Mount Eliza,0.1,0,0.7,0.1,0.9,0.6,1.3,1,0.2,0.2,0.5,0.3,1.1,0.8,0.5,1.4,1.5,0.3,0.3,12.2,Mornington Peninsula
Mount Martha,0.1,0,0.8,0.1,1.1,0.5,1.4,1,0.2,0.2,0.5,0.3,0.9,0.8,0.6,1.4,1.6,0.4,0.4,12.8,Mornington Peninsula
Point Nepean,0.1,0,0.4,0.1,0.9,0.4,1.3,1.4,0.2,0.1,0.4,0.4,0.7,0.7,0.4,1,1.1,0.3,0.3,10.7,Mornington Peninsula
Rosebud - McCrae,0.2,0,0.6,0.1,1,0.4,1.8,1.4,0.3,0.1,0.5,0.3,0.6,0.9,0.6,0.9,1.9,0.3,0.4,12.6,Mornington Peninsula
Somerville,0.2,0,1,0.1,1.5,0.6,1.5,0.9,0.3,0.1,0.5,0.2,0.7,1,0.7,1,1.7,0.4,0.5,13.3,Mornington Peninsula
Ararat,0.5,0.1,0.6,0,0.2,0.3,0.4,0.4,0.1,0,0.1,0.1,0.2,0.2,0.7,0.3,0.9,0.1,0.1,5.4,Ararat Rural
Ararat Region,0.5,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.2,0.2,0.3,0,0,2.1,Ararat Rural
Horsham,0.6,0.1,0.4,0.2,0.8,0.5,1.5,1,0.6,0.1,0.4,0.1,0.4,0.9,0.7,0.9,2.1,0.2,0.4,12.1,Horsham Rural
Horsham Region,0.5,0,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0.1,0.1,2.5,Horsham Rural
Nhill Region,0.9,0,0.1,0,0.2,0.1,0.3,0.1,0.3,0,0.1,0,0.1,0.2,0.3,0.4,0.8,0,0.1,4.3,West Wimmera
St Arnaud,0.4,0,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.4,0,0,2.1,Northern Grampians
Stawell,0.3,0.2,0.7,0,0.3,0.1,0.4,0.4,0.1,0,0.1,0.1,0.1,0.3,0.6,0.3,1,0.2,0.1,5.7,Northern Grampians
West Wimmera,0.6,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.3,0,0,1.9,West Wimmera
Yarriambiack,0.5,0,0.1,0,0.1,0.2,0.3,0.2,0.2,0,0.1,0,0.1,0.2,0.2,0.4,0.8,0.1,0.1,3.8,Yarriambiack
Irymple,0.5,0,0.3,0,0.4,0.2,0.6,0.4,0.2,0,0.1,0.1,0.2,0.4,0.3,0.4,0.5,0.1,0.1,5.2,Mildura Rural
Merbein,0.3,0,0.2,0,0.2,0.1,0.4,0.4,0.2,0,0.1,0,0.1,0.3,0.2,0.3,0.3,0,0.1,3.4,Mildura Rural
Mildura Region,0.5,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0.1,0.2,0.1,0.2,0.3,0.1,0.1,2.5,Mildura Rural
Red Cliffs,0.8,0,0.3,0,0.3,0.3,0.4,0.4,0.2,0,0.1,0.1,0.1,0.8,0.2,0.2,0.4,0.1,0.1,5.1,Mildura Rural
Mildura - North,1.6,0.1,0.8,0.1,0.7,0.9,1.3,1.5,0.5,0.1,0.3,0.2,0.5,2.1,0.6,1,1.7,0.2,0.4,15,Mildura Rural
Mildura - South,1.2,0.1,0.7,0.1,0.6,0.7,1.3,1.2,0.5,0.1,0.4,0.2,0.5,1.6,0.6,0.9,1.7,0.2,0.3,13.2,Mildura Rural
Buloke,0.6, np ,0.2,0,0.1,0.2,0.3,0.2,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,3.8,Buloke
Gannawarra,0.6,0,0.3,0.1,0.3,0.2,0.4,0.3,0.1,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.1,0.1,3.9,Gannawarra
Kerang,0.1,0,0.2,0,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.3,Gannawarra
Robinvale,1,0,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0.2,1,0,0.1,0.2,0,0.1,3.6,Swan Hill Rural
Swan Hill,0.5,0,0.5,0.1,0.4,0.6,1,0.8,0.3,0.1,0.3,0.1,0.3,0.6,0.5,0.7,1.1,0.2,0.3,8.2,Swan Hill Rural
Swan Hill Region,1,0,0.3,0,0.2,0.3,0.3,0.3,0.2,0,0.1,0,0.1,0.4,0.2,0.3,0.4,0.1,0.1,4.7,Swan Hill Rural
Echuca,0.6,0,0.8,0.1,0.8,0.3,1.3,1.5,0.4,0.1,0.3,0.3,0.3,0.7,0.5,0.8,1.7,0.2,0.3,11.2,Campaspe
Kyabram,0.6,0,0.9,0.1,0.4,0.2,0.7,0.4,0.3,0,0.3,0.1,0.3,0.6,0.3,0.5,1,0.1,0.2,7.3,Campaspe
Lockington - Gunbower,0.3,0,0.2,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.2,0.3,0,0.1,2.5,Campaspe
Rochester,0.3,0,0.2,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.2,0.4,0,0.1,2.5,Campaspe
Rushworth,0.3,0,0.3,0,0.1,0.1,0.2,0.1,0.2,0,0.1,0,0.1,0.2,0.1,0.2,0.3,0,0,2.4,Campaspe
Cobram,0.5,0,0.5,0,0.2,0.1,0.5,0.4,0.2,0,0.1,0.1,0.1,0.3,0.1,0.2,0.4,0.1,0.1,4.2,Moira
Moira,0.2,0,0.2,0,0.1,0,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0,0,1.9,Moira
Numurkah,0.8,0,0.9,0.1,0.4,0.2,0.8,0.5,0.5,0,0.2,0.1,0.2,0.5,0.3,0.6,1.1,0.1,0.2,8,Moira
Yarrawonga,0.1,0,0.4,0,0.5,0.1,0.6,0.8,0.2,0,0.2,0.1,0.2,0.2,0.2,0.4,0.7,0.1,0.1,5,Moira
Mooroopna,0.3,0,0.5,0.1,0.3,0.2,0.6,0.4,0.3,0,0.2,0.1,0.2,0.7,0.3,0.3,0.8,0.1,0.2,5.7,Greater Shepparton
Shepparton - North,0.6,0,0.9,0.2,0.7,0.7,1.4,1,0.4,0.1,0.5,0.2,0.6,1.3,0.6,1.2,2.6,0.2,0.5,14.3,Greater Shepparton
Shepparton - South,1.1,0,1.2,0.2,0.9,0.8,1.9,1.3,0.6,0.1,0.6,0.2,0.7,1.9,0.8,1.3,2.2,0.2,0.6,17.2,Greater Shepparton
Shepparton Region - East,0.2,0,0.2,0,0.2,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.2,0.1,0.3,0.4,0,0.1,2.8,Greater Shepparton
Shepparton Region - West,0.8,0,0.7,0.2,0.4,0.2,0.5,0.3,0.3,0,0.2,0.1,0.3,0.7,0.4,0.5,0.9,0.1,0.2,7.1,Greater Shepparton
Glenelg (Vic.),1.2,0,0.4,0,0.3,0.2,0.4,0.4,0.4,0,0.2,0.1,0.2,0.3,0.4,0.4,0.7,0.1,0.2,6,Glenelg
Hamilton (Vic.),1.2,0,0.3,0,0.3,0.2,0.8,0.7,0.3,0.1,0.2,0.1,0.2,0.4,0.5,0.7,1.1,0.1,0.2,7.5,Southern Grampians
Portland,0.4,0,0.8,0.1,0.5,0.2,0.7,0.7,0.7,0,0.2,0.1,0.2,0.5,0.4,0.5,1,0.1,0.3,7.6,Glenelg
Southern Grampians,1.4,0,0.1,0,0.2,0.1,0.3,0.3,0.1,0,0.1,0,0.2,0.1,0.3,0.4,0.5,0.1,0.1,4.5,Southern Grampians
Camperdown,0.2,0,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0,2.2,Corangamite
Colac,0.3,0,1.9,0.1,0.4,0.2,0.9,0.7,0.4,0.1,0.3,0.1,0.3,0.7,0.5,0.5,1.2,0.1,0.2,9,Colac Otway
Colac Region,0.4,0,0.4,0,0.2,0.1,0.3,0.3,0.2,0,0.1,0,0.1,0.3,0.2,0.3,0.6,0.1,0.1,3.8,Colac Otway
Corangamite - North,0.6,0,0.2,0,0.2,0.1,0.3,0.2,0.2,0,0.1,0,0.1,0.2,0.2,0.4,0.5,0.1,0.1,3.6,Corangamite
Corangamite - South,1,0.1,0.4,0,0.3,0.1,0.4,0.5,0.2,0,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.1,0.1,4.8,Corangamite
Otway,0.1,0,0.1,0,0.1,0,0.2,0.7,0.1,0,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,2.6,Colac Otway
Moyne - East,1,0,0.3,0,0.2,0.1,0.3,0.3,0.2,0,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.1,0.1,4.7,Moyne
Moyne - West,0.9,0,0.4,0.1,0.3,0.2,0.6,0.6,0.2,0,0.2,0.1,0.2,0.4,0.5,0.6,1,0.1,0.2,6.8,Moyne
Warrnambool - North,0.4,0.1,1.5,0.2,0.8,0.5,2.1,2,0.5,0.1,0.5,0.2,0.6,1.2,1,1.4,2.6,0.4,0.5,16.8,Warrnambool
Warrnambool - South,0.3,0,1,0.1,0.4,0.2,1,1.1,0.3,0.1,0.3,0.1,0.4,0.9,0.6,1,1.6,0.2,0.3,9.9,Warrnambool